,name,shorten_label,general_desc,positive_desc,negative_desc,behaviour,type,interest
32,directive,DR,"Directive individuals mampu memberikan arahan yang jelas dan tegas, memimpin dengan sikap yang tegas dan percaya diri.","Anda mampu memberikan arahan yang jelas dan tegas. Kepemimpinan Anda yang tegas dan percaya diri membuat orang lain merasa terarah dan yakin. Dengan keterampilan ini, Anda memimpin dengan sikap yang tegas dan penuh keyakinan, memastikan bahwa setiap orang memahami peran dan tanggung jawab mereka dengan jelas, dan bekerja menuju tujuan bersama dengan semangat yang sama.",Anda mungkin merasa kurang mampu memberikan arahan yang jelas dan tegas. Kepemimpinan Anda yang tidak selalu tegas dan percaya diri membuat orang lain merasa bingung dan kurang terarah. Ketidakmampuan untuk menunjukkan ketegasan dan keyakinan menghambat Anda untuk memimpin dengan efektif dan memastikan tim mencapai tujuan bersama.,Terampil dalam memperbaiki masalah dan menemukan solusi kreatif untuk setiap tantangan.,drive,enterprising
33,contextual,CX,"Contextual thinkers memahami situasi dan masalah dalam konteks yang lebih luas, melihat gambaran besar dan implikasi jangka panjang.","Anda memahami situasi dan masalah dalam konteks yang lebih luas. Kemampuan Anda untuk melihat gambaran besar membantu dalam membuat keputusan yang tepat dan strategis, memastikan bahwa setiap langkah yang diambil mempertimbangkan implikasi jangka panjang. Anda adalah seorang pemikir strategis yang selalu mempertimbangkan setiap aspek sebelum mengambil keputusan.",Anda mungkin merasa kesulitan memahami situasi dan masalah dalam konteks yang lebih luas. Pandangan yang terbatas dan kurangnya kemampuan untuk melihat gambaran besar membuat keputusan Anda sering kali tidak strategis. Kurangnya perspektif jangka panjang menghalangi Anda untuk membuat keputusan yang tepat dan berdampak positif.,Cenderung memberikan instruksi dan arahan yang jelas kepada orang lain dalam mencapai tujuan.,action,investigative
34,personalizer,PS,"Personalizers memiliki kemampuan untuk membuat pengalaman personal dan berarti bagi orang lain, membangun hubungan yang erat dan penuh makna.","Anda memiliki kemampuan untuk membuat pengalaman personal dan berarti bagi orang lain. Hubungan yang Anda bangun selalu erat dan penuh makna, menunjukkan perhatian Anda yang mendalam dan tulus terhadap kebutuhan dan perasaan orang lain. Anda menciptakan ikatan yang kuat dan bermakna, menjadikan setiap interaksi sebagai momen yang berharga dan berarti.","Anda mungkin kurang mampu membuat pengalaman personal dan berarti bagi orang lain. Hubungan yang Anda bangun mungkin kurang erat dan penuh makna, menunjukkan kurangnya perhatian terhadap kebutuhan dan perasaan orang lain. Keterampilan yang kurang dalam membangun ikatan yang kuat membuat interaksi Anda terasa dangkal dan kurang berkesan.",Mampu memahami konteks dari situasi yang berbeda dan bertindak sesuai dengan itu.,network,artistic
35,explorer,EX,Explorers senang menjelajahi hal baru dan menemukan pengalaman yang berharga dalam perjalanan hidup mereka.,"Anda senang menjelajahi hal baru dan menemukan pengalaman yang berharga. Semangat petualangan Anda membawa banyak wawasan dan inspirasi bagi diri Anda sendiri dan orang lain. Dengan antusiasme dan keberanian untuk menjelajahi hal-hal baru, Anda membuka pintu menuju pengetahuan dan pengalaman yang kaya, memberikan inspirasi bagi banyak orang untuk mengikuti jejak Anda dan menjelajahi dunia dengan rasa ingin tahu yang tak pernah padam.",Anda mungkin tidak terlalu tertarik untuk menjelajahi hal baru dan menemukan pengalaman yang berharga. Semangat petualangan yang rendah dan keinginan untuk tetap dalam zona nyaman menghalangi Anda untuk memperoleh wawasan dan inspirasi baru. Ketidakmampuan untuk menjelajahi hal-hal baru membuat Anda kurang berkembang dan kurang terinspirasi.,Memiliki kemampuan untuk menjalin hubungan pribadi yang kuat dengan orang lain.,drive,investigative
36,accountable,AC,"Accountable individuals bertanggung jawab atas tindakan dan keputusan mereka, menunjukkan integritas dan konsistensi dalam perilaku mereka.","Anda bertanggung jawab atas tindakan dan keputusan Anda, menunjukkan integritas dan konsistensi dalam perilaku Anda. Sikap Anda yang selalu menepati janji dan memegang tanggung jawab dengan serius membuat Anda dihormati dan dipercaya oleh orang lain. Anda adalah sosok yang dapat diandalkan, selalu memastikan bahwa setiap komitmen yang Anda buat terpenuhi dengan baik dan tepat waktu.",Anda mungkin merasa sulit untuk bertanggung jawab atas tindakan dan keputusan Anda. Kurangnya integritas dan konsistensi dalam perilaku membuat orang lain merasa ragu terhadap komitmen dan janji yang Anda buat. Sikap yang tidak selalu menepati janji menghambat Anda untuk membangun reputasi sebagai individu yang dapat diandalkan dan dipercaya.,Menunjukkan minat dan keinginan untuk menjelajahi hal-hal baru dan mencari pengalaman baru.,action,realistic
37,initiator,IT,"Initiators adalah orang yang memulai tindakan dan menggerakkan perubahan, memimpin dengan contoh dan inspirasi.","Anda adalah orang yang memulai tindakan dan menggerakkan perubahan. Keberanian dan inisiatif Anda untuk mengambil langkah pertama membuat Anda menjadi pemimpin yang diikuti dan dihormati. Dengan kemampuan ini, Anda mampu memicu transformasi positif dan membawa ide-ide baru menjadi kenyataan. Anda memimpin dengan contoh dan inspirasi, menggerakkan orang lain untuk juga mengambil tindakan dan berkontribusi pada perubahan.",Anda mungkin kurang inisiatif dalam memulai tindakan dan menggerakkan perubahan. Keberanian dan tekad yang rendah untuk mengambil langkah pertama membuat Anda terlihat pasif dan kurang inspiratif. Ketidakmampuan untuk memicu transformasi positif menghambat Anda untuk menjadi pemimpin yang inovatif dan dihormati.,"Bertanggung jawab atas tindakan dan keputusan mereka, serta siap menerima konsekuensinya.",action,realistic
38,competitive,CP,"Competitive individuals memiliki dorongan yang kuat untuk menjadi yang terbaik dan mengungguli pesaing, menunjukkan semangat persaingan yang sehat.","Anda memiliki dorongan yang kuat untuk menjadi yang terbaik dan mengungguli pesaing. Semangat persaingan Anda yang sehat mendorong Anda untuk terus berusaha mencapai puncak, menunjukkan dedikasi dan kerja keras yang luar biasa. Kompetisi memacu Anda untuk memberikan yang terbaik dari diri Anda sendiri, menginspirasi orang lain untuk juga berjuang mencapai prestasi tertinggi.",Anda mungkin tidak memiliki dorongan yang kuat untuk menjadi yang terbaik dan mengungguli pesaing. Semangat persaingan yang rendah membuat Anda kurang berusaha mencapai puncak dan menunjukkan dedikasi yang kurang. Ketidakmampuan untuk bersaing secara sehat menghalangi Anda untuk mencapai prestasi tertinggi dan menginspirasi orang lain.,Memiliki kecenderungan untuk memulai tindakan dan mengambil langkah pertama dalam mencapai tujuan.,drive,enterprising
39,flexible,FL,Flexible individuals fleksibel dalam menyesuaikan diri dengan perubahan dan menangani situasi yang tidak terduga dengan mudah.,"Anda fleksibel dalam menyesuaikan diri dengan perubahan dan menangani situasi yang tidak terduga dengan mudah. Kemampuan Anda untuk beradaptasi dengan cepat dan efisien membuat Anda mampu menghadapi tantangan apapun dengan tenang dan percaya diri. Fleksibilitas Anda memastikan bahwa Anda selalu siap menghadapi perubahan, menjadikan Anda rekan yang dapat diandalkan dalam setiap situasi.",Anda mungkin merasa sulit untuk menyesuaikan diri dengan perubahan dan menangani situasi yang tidak terduga. Kurangnya fleksibilitas dan kemampuan beradaptasi membuat Anda terlihat kaku dan tidak siap menghadapi tantangan. Ketidakmampuan untuk menghadapi perubahan dengan tenang dan percaya diri menghambat Anda untuk menjadi individu yang tangguh dan fleksibel.,Bersemangat dalam situasi kompetitif dan bertekad untuk mencapai keunggulan.,action,artistic
40,contemplative,CT,"Contemplative individuals cenderung merenung dan mempertimbangkan dengan seksama sebelum bertindak, menunjukkan kedalaman pemikiran dan introspeksi.","Anda cenderung merenung dan mempertimbangkan dengan seksama sebelum bertindak. Kedalaman pemikiran dan introspeksi Anda memastikan bahwa setiap keputusan yang diambil adalah yang paling bijaksana dan tepat. Anda mampu melihat berbagai sudut pandang dan mempertimbangkan konsekuensi jangka panjang dari setiap tindakan, menjadikan Anda seorang pemikir yang dalam dan bijaksana.",Anda mungkin kurang cenderung untuk merenung dan mempertimbangkan dengan seksama sebelum bertindak. Kedalaman pemikiran dan introspeksi yang terbatas membuat keputusan Anda sering kali kurang bijaksana. Ketidakmampuan untuk melihat berbagai sudut pandang dan mempertimbangkan konsekuensi jangka panjang menghalangi Anda untuk membuat keputusan yang tepat dan berdampak positif.,Fleksibel dalam merespon perubahan dan terbuka untuk mencoba pendekatan baru.,drive,investigative
41,affectionate,AF,Affectionate individuals mengekspresikan kasih sayang dan perhatian kepada orang-orang di sekitar mereka dengan tulus dan hangat.,"Anda mengekspresikan kasih sayang dan perhatian kepada orang-orang di sekitar Anda dengan tulus dan hangat. Kehangatan dan ketulusan Anda membuat orang lain merasa dihargai dan dicintai, menciptakan hubungan yang penuh kasih dan pengertian. Keterampilan Anda dalam menunjukkan kasih sayang memperkuat ikatan emosional dan membuat orang-orang di sekitar Anda merasa aman dan diterima.",Anda mungkin kurang mengekspresikan kasih sayang dan perhatian kepada orang-orang di sekitar Anda. Kehangatan dan ketulusan yang terbatas membuat orang lain merasa kurang dihargai dan dicintai. Ketidakmampuan untuk menunjukkan kasih sayang secara tulus menghambat Anda untuk menciptakan hubungan yang penuh kasih dan pengertian.,Cenderung merenung secara mendalam tentang berbagai ide dan konsep.,network,social
42,structured,ST,Structured individuals memiliki pola pikir yang terorganisir dan menyukai ketertiban dalam pekerjaan dan kehidupan mereka.,"Anda memiliki pola pikir yang terorganisir dan menyukai ketertiban dalam pekerjaan dan kehidupan Anda. Kemampuan Anda untuk mengatur segala sesuatu dengan rapi dan sistematis memastikan bahwa setiap tugas diselesaikan dengan efisien dan efektif. Anda menciptakan lingkungan yang terstruktur dan tertata, memungkinkan produktivitas dan kinerja yang optimal.",Anda mungkin kurang memiliki pola pikir yang terorganisir dan menyukai ketertiban dalam pekerjaan dan kehidupan Anda. Kemampuan yang terbatas untuk mengatur segala sesuatu dengan rapi dan sistematis membuat Anda terlihat kurang efisien. Ketidakmampuan untuk menciptakan lingkungan yang terstruktur dan tertata menghambat produktivitas dan kinerja optimal Anda.,Menunjukkan kasih sayang dan perhatian yang tulus terhadap orang lain dalam tindakan mereka.,action,conventional
43,genuine,GN,"Genuine individuals autentik dalam perilaku dan komunikasi mereka, menunjukkan kejujuran dan kesetiaan dalam hubungan.","Anda autentik dalam perilaku dan komunikasi Anda. Kejujuran dan kesetiaan Anda dalam hubungan membuat Anda dihormati dan dipercaya oleh orang lain. Anda selalu tampil apa adanya, menunjukkan integritas dan ketulusan yang menjadi landasan dari setiap interaksi Anda. Keaslian Anda menciptakan ikatan yang kuat dan tulus dengan orang-orang di sekitar Anda.",Anda mungkin kurang autentik dalam perilaku dan komunikasi Anda. Kejujuran dan kesetiaan yang terbatas membuat Anda terlihat kurang dapat dipercaya oleh orang lain. Ketidakmampuan untuk selalu tampil apa adanya menghalangi Anda untuk membangun ikatan yang kuat dan tulus dengan orang-orang di sekitar Anda.,Mampu menciptakan kerangka kerja yang jelas dan teratur dalam menjalankan tugas.,network,social
44,equitable,EQ,"Equitable individuals memperlakukan semua orang dengan adil dan setara, memegang teguh prinsip keadilan dan kesetaraan dalam semua interaksi mereka.","Anda memperlakukan semua orang dengan adil dan setara, memegang teguh prinsip keadilan dan kesetaraan dalam semua interaksi Anda. Sikap Anda yang selalu mengedepankan keadilan memastikan bahwa setiap orang merasa dihargai dan diperlakukan dengan hormat. Anda adalah pendukung setia prinsip-prinsip keadilan, bekerja tanpa lelah untuk menciptakan lingkungan yang inklusif dan setara bagi semua orang.",Anda mungkin kurang memperlakukan semua orang dengan adil dan setara. Prinsip keadilan yang tidak selalu dipegang teguh membuat Anda terlihat tidak adil dalam berbagai interaksi. Ketidakmampuan untuk mengedepankan keadilan menghambat Anda untuk menciptakan lingkungan yang inklusif dan setara bagi semua orang.,Menunjukkan keaslian dan integritas dalam perilaku dan interaksi mereka.,drive,conventional
